Fecha,Ciudad,Sistema,Pasajeros/dia,Variacion Transmilenio,Pasajeros dia tipico laboral,Pasajeros dia sabado,Pasajeros dia festivo,DiaSemana
21/04/2020,Cartagena,TRANSCARIBE,338,-975878571,140,9543,45203,2
21/04/2020,Barranquilla,TRANSMETRO,2585,-820801797,144276,110,52,2
21/04/2020,Cali/Valle,MIO,8358,-808298165,436,308387,149213,2
21/04/2020,Medellin,SITVA,3078,-838166898,1901978,1498727,780939,2
21/04/2020,Bogota,TRANSMILENIO/SITP,66726,-827136411,3860061,2499019,1188607,2
22/04/2020,Bucaramanga,METROLINEA,2417,-772311924,106154,70267,33354,3
22/04/2020,Pereira,MEGABUS,21,-836220276,128221,100186,52276,3
22/04/2020,Cartagena,TRANSCARIBE,358,-974442857,140,9543,45203,3
22/04/2020,Barranquilla,TRANSMETRO,2863,-801560897,144276,110,52,3
22/04/2020,Cali/Valle,MIO,8913,-795573394,436,308387,149213,3
22/04/2020,Medellin,SITVA,3148,-834489148,1901978,1498727,780939,3
22/04/2020,Bogota,TRANSMILENIO/SITP,676,-824872198,3860061,2499019,1188607,3
23/04/2020,Bucaramanga,METROLINEA,2474,-766989468,106154,70267,33354,4
23/04/2020,Pereira,MEGABUS,21,-836220276,128221,100186,52276,4
23/04/2020,Cartagena,TRANSCARIBE,35,-975007143,140,9543,45203,4
23/04/2020,Barranquilla,TRANSMETRO,273,-810786271,144276,110,52,4
23/04/2020,Cali/Valle,MIO,8827,-797541284,436,308387,149213,4
23/04/2020,Medellin,SITVA,31927,-832135808,1901978,1498727,780939,4
23/04/2020,Bogota,TRANSMILENIO/SITP,67244,-825794722,3860061,2499019,1188607,4
24/04/2020,Bucaramanga,METROLINEA,2492,-765274978,106154,70267,33354,5
24/04/2020,Pereira,MEGABUS,2044,-840556539,128221,100186,52276,5
24/04/2020,Cartagena,TRANSCARIBE,388,-9723,140,9543,45203,5
24/04/2020,Barranquilla,TRANSMETRO,2827,-80402839,144276,110,52,5
24/04/2020,Cali/Valle,MIO,9048,-792470183,436,308387,149213,5
24/04/2020,Medellin,SITVA,32709,-82802535,1901978,1498727,780939,5
24/04/2020,Bogota,TRANSMILENIO/SITP,71019,-81601612,3860061,2499019,1188607,5
25/04/2020,Bucaramanga,METROLINEA,954,-864289069,106154,70267,33354,6
25/04/2020,Pereira,MEGABUS,145,-855269199,128221,100186,52276,6
25/04/2020,Cartagena,TRANSCARIBE,263,-972440532,140,9543,45203,6
25/04/2020,Barranquilla,TRANSMETRO,2268,-793818182,144276,110,52,6
25/04/2020,Cali/Valle,MIO,6996,-773145431,436,308387,149213,6
25/04/2020,Medellin,SITVA,25654,-828827398,1901978,1498727,780939,6
25/04/2020,Bogota,TRANSMILENIO/SITP,5081,-796680617,3860061,2499019,1188607,6
26/04/2020,Bucaramanga,METROLINEA,545,-836751214,106154,70267,33354,7
26/04/2020,Pereira,MEGABUS,7,-86609534,128221,100186,52276,7
26/04/2020,Cartagena,TRANSCARIBE,121,-973320355,140,9543,45203,7
26/04/2020,Barranquilla,TRANSMETRO,1044,-799307692,144276,110,52,7
26/04/2020,Cali/Valle,MIO,3701,-751965311,436,308387,149213,7
26/04/2020,Medellin,SITVA,12487,-840097626,1901978,1498727,780939,7
26/04/2020,Bogota,TRANSMILENIO/SITP,31825,-732252124,3860061,2499019,1188607,7
27/04/2020,Bucaramanga,METROLINEA,2632,-752020649,106154,70267,33354,1
27/04/2020,Pereira,MEGABUS,2435,-810101309,128221,100186,52276,1
27/04/2020,Cartagena,TRANSCARIBE,496,-96455,140,9543,45203,1
27/04/2020,Barranquilla,TRANSMETRO,2784,-807071169,144276,110,52,1
27/04/2020,Cali/Valle,MIO,9676,-778073394,436,308387,149213,1
27/04/2020,Medellin,SITVA,34612,-818023657,1901978,1498727,780939,1
27/04/2020,Bogota,TRANSMILENIO/SITP,73662,-809168042,3860061,2499019,1188607,1
28/04/2020,Bucaramanga,METROLINEA,2615,-753650357,106154,70267,33354,2
28/04/2020,Pereira,MEGABUS,2574,-799245053,128221,100186,52276,2
28/04/2020,Cartagena,TRANSCARIBE,557,-960207143,140,9543,45203,2
28/04/2020,Barranquilla,TRANSMETRO,2766,-808291053,144276,110,52,2
28/04/2020,Cali/Valle,MIO,9327,-786077982,436,308387,149213,2
28/04/2020,Medellin,SITVA,35749,-812042516,1901978,1498727,780939,2
28/04/2020,Bogota,TRANSMILENIO/SITP,77356,-799599281,3860061,2499019,1188607,2
29/04/2020,Bucaramanga,METROLINEA,2352,-778444524,106154,70267,33354,3
29/04/2020,Pereira,MEGABUS,255,-801124621,128221,100186,52276,3
29/04/2020,Cartagena,TRANSCARIBE,565,-959628571,140,9543,45203,3
29/04/2020,Barranquilla,TRANSMETRO,279,-806627575,144276,110,52,3
29/04/2020,Cali/Valle,MIO,9999,-770658257,436,308387,149213,3
29/04/2020,Medellin,SITVA,36901,-805985663,1901978,1498727,780939,3
29/04/2020,Bogota,TRANSMILENIO/SITP,73375,-809913367,3860061,2499019,1188607,3
30/04/2020,Bucaramanga,METROLINEA,2576,-757296004,106154,70267,33354,4
30/04/2020,Pereira,MEGABUS,2669,-791851569,128221,100186,52276,4
30/04/2020,Cartagena,TRANSCARIBE,622,-9556,140,9543,45203,4
30/04/2020,Barranquilla,TRANSMETRO,2844,-802863955,144276,110,52,4
30/04/2020,Cali/Valle,MIO,10462,-760036697,436,308387,149213,4
30/04/2020,Medellin,SITVA,38607,-797014477,1901978,1498727,780939,4
30/04/2020,Bogota,TRANSMILENIO/SITP,79483,-794088487,3860061,2499019,1188607,4
1/05/2020,Bucaramanga,METROLINEA,10,-905844339,106154,70267,33354,5
1/05/2020,Pereira,MEGABUS,1667,-869997894,128221,100186,52276,5
1/05/2020,Cartagena,TRANSCARIBE,117,-991635714,140,9543,45203,5
1/05/2020,Barranquilla,TRANSMETRO,1412,-9021043,144276,110,52,5
1/05/2020,Cali/Valle,MIO,3433,-921252294,436,308387,149213,5
1/05/2020,Medellin,SITVA,17994,-905395856,1901978,1498727,780939,5
1/05/2020,Bogota,TRANSMILENIO/SITP,37194,-903644269,3860061,2499019,1188607,5
2/05/2020,Bucaramanga,METROLINEA,1036,-852576601,106154,70267,33354,6
2/05/2020,Pereira,MEGABUS,2376,-76287106,128221,100186,52276,6
2/05/2020,Cartagena,TRANSCARIBE,372,-961070942,140,9543,45203,6
2/05/2020,Barranquilla,TRANSMETRO,754,-931427273,144276,110,52,6
2/05/2020,Cali/Valle,MIO,6324,-794936233,436,308387,149213,6
2/05/2020,Medellin,SITVA,29045,-806199528,1901978,1498727,780939,6
2/05/2020,Bogota,TRANSMILENIO/SITP,6817,-727212158,3860061,2499019,1188607,6
3/05/2020,Bucaramanga,METROLINEA,559,-832493854,106154,70267,33354,7
3/05/2020,Pereira,MEGABUS,108,-793346851,128221,100186,52276,7
3/05/2020,Cartagena,TRANSCARIBE,109,-975997168,140,9543,45203,7
